SchemaName,TableName,OrdinalPosition,ColumnName,VietnameseColumnName,DataType,FullDataType,MaxLength,Precision,Scale,IsNullable,DefaultValue,IsIdentity,IdentitySeed,IdentityIncrement,IsComputed,ComputedDefinition,IsPrimaryKey,PrimaryKeyOrder,IsForeignKey,ForeignKeyName,ReferencedSchema,ReferencedTable,ReferencedColumn,IsUnique,CheckConstraint,BusinessDescription,SourceOfTruth,Notes
dbo,Accounts,26,DeletedAt,Thời điểm xóa,DATETIME,DATETIME,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,27,DeletedBy,Người xóa,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,28,AvatarUrl,Ảnh đại diện,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,29,CompletedBookingCount,CompletedBookingCount,INT,INT,,10,0,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,30,LateCancelCount,LateCancelCount,INT,INT,,10,0,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,31,NoShowCount,NoShowCount,INT,INT,,10,0,NO,((0)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,32,NhanThongBaoMarketing,NhanThongBaoMarketing,BIT,BIT,,,,NO,((1)),NO,,,NO,,NO,,NO,,,,,NO,,,LIVE_DB_SNAPSHOT_2026-08-02,
dbo,Accounts,33,FaceDescriptor,Vector đặc trưng khuôn mặt,NVARCHAR,NVARCHAR(MAX),MAX,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration src/main/resources/migration_face_attendance.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,34,FaceImagePath,Đường dẫn ảnh khuôn mặt,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration src/main/resources/migration_face_attendance.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,35,FaceEnrolledAt,Thời điểm đăng ký khuôn mặt,DATETIME,DATETIME,,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration src/main/resources/migration_face_attendance.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,36,CoverImageUrl,Ảnh bìa,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,37,ChieuCaoCm,ChieuCaoCm,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,38,CanNangKg,CanNangKg,INT,INT,,10,0,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,39,GhiChuDacBiet,ghi chú DacBiet,NVARCHAR,NVARCHAR(500),500,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,40,ViTriYeuThich,ViTriYeuThich,NVARCHAR,NVARCHAR(255),255,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,41,MonTheThaoYeuThichID,mã MonTheThaoYeuThich,INT,INT,,10,0,YES,,NO,,,NO,,NO,,YES,FK_Accounts_MonTheThaoYeuThich,dbo,MonTheThao,MonTheThaoID,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
dbo,Accounts,42,TrinhDoChoi,TrinhDoChoi,VARCHAR,VARCHAR(30),30,,,YES,,NO,,,NO,,NO,,NO,,,,,NO,,,MIGRATION_SQL_NOT_IN_SNAPSHOT,Có trong migration sql/migration_customer_profile.sql nhưng KHÔNG có trong snapshot DB 2026-08-02
